environment_key,environment,model,weighting,seed,reward,train_mse,test_mse,reward_corrected
inverted_double_pendulum,Inverted double pendulum,CGP features + LR (k=8),Uniform,2,8628.6982421875,0.0002634254051372409,0.0003618891059886664,False
inverted_double_pendulum,Inverted double pendulum,CGP features + LR (k=8),Uniform,3,9354.423828125,0.00036825449205935,0.0004338026337791234,False
inverted_double_pendulum,Inverted double pendulum,CGP features + LR (k=8),Uniform,4,1021.4149780273438,0.0002855297934729606,0.00023047284048516303,False
inverted_double_pendulum,Inverted double pendulum,CGP features + LR (k=8),Q-DAgger,0,1631.7227783203125,0.0005769928684458137,0.0006125339423306286,False
inverted_double_pendulum,Inverted double pendulum,CGP features + LR (k=8),Q-DAgger,1,8762.6435546875,0.0006811950006522238,0.0013442604104056954,False
inverted_double_pendulum,Inverted double pendulum,CGP features + LR (k=8),Q-DAgger,2,1389.0701904296875,0.0005364407552406192,0.0012653684243559837,False
inverted_double_pendulum,Inverted double pendulum,CGP features + LR (k=8),Q-DAgger,3,700.212646484375,0.0005739028565585613,0.0011925450526177883,False
inverted_double_pendulum,Inverted double pendulum,CGP features + LR (k=8),Q-DAgger,4,925.1408081054688,0.0005498346872627735,0.000750073988456279,False
hopper,Hopper,CGP features + LR (k=8),Uniform,0,232.7788848876953,0.09167364239692688,0.09181494265794754,False
hopper,Hopper,CGP features + LR (k=8),Uniform,1,239.17666625976562,0.08835116028785706,0.08656459301710129,False
hopper,Hopper,CGP features + LR (k=8),Uniform,2,244.3941650390625,0.09496466815471649,0.09735365957021713,False
hopper,Hopper,CGP features + LR (k=8),Uniform,3,236.8999481201172,0.08913681656122208,0.08985913544893265,False
hopper,Hopper,CGP features + LR (k=8),Uniform,4,547.3814697265625,0.09133470058441162,0.09062660485506058,False
hopper,Hopper,CGP features + LR (k=8),Q-DAgger,0,145.86322021484375,0.08675600588321686,0.08607693761587143,False
hopper,Hopper,CGP features + LR (k=8),Q-DAgger,1,100.4666748046875,0.087887242436409,0.08675992488861084,False
hopper,Hopper,CGP features + LR (k=8),Q-DAgger,2,88.5869369506836,0.08885390311479568,0.0901089683175087,False
hopper,Hopper,CGP features + LR (k=8),Q-DAgger,3,139.7300567626953,0.0891544446349144,0.0899299904704094,False
hopper,Hopper,CGP features + LR (k=8),Q-DAgger,4,338.560302734375,0.09130539745092392,0.08602236956357956,False
walker2d,Walker2d,CGP features + LR (k=8),Uniform,0,36.60163497924805,0.14993435144424438,0.1578943431377411,True
walker2d,Walker2d,CGP features + LR (k=8),Uniform,1,242.1899871826172,0.1586134135723114,0.1606990396976471,False
walker2d,Walker2d,CGP features + LR (k=8),Uniform,2,1.8320763111114502,0.15395604074001312,0.1547485589981079,False
walker2d,Walker2d,CGP features + LR (k=8),Uniform,3,0.8587972521781921,0.15759170055389404,0.15323787927627563,False
walker2d,Walker2d,CGP features + LR (k=8),Uniform,4,42.53571701049805,0.15657825767993927,0.15286535024642944,False
walker2d,Walker2d,CGP features + LR (k=8),Q-DAgger,0,-2.309870958328247,0.13565479218959808,0.1405872255563736,False
walker2d,Walker2d,CGP features + LR (k=8),Q-DAgger,1,43.45667266845703,0.14417876303195953,0.15155021846294403,True
walker2d,Walker2d,CGP features + LR (k=8),Q-DAgger,2,34.35152816772461,0.14335548877716064,0.1471806764602661,False
walker2d,Walker2d,CGP features + LR (k=8),Q-DAgger,3,6.433630466461182,0.1449204534292221,0.13992419838905334,False
walker2d,Walker2d,CGP features + LR (k=8),Q-DAgger,4,47.51908493041992,0.1432386338710785,0.14241592586040497,False
hopper,Hopper,Multi-CGP + LR (8 features/action),Uniform,0,1117.9085693359375,0.07890352606773376,0.0794372409582138,False
hopper,Hopper,Multi-CGP + LR (8 features/action),Uniform,1,717.3796997070312,0.078830786049366,0.07897110283374786,False
hopper,Hopper,Multi-CGP + LR (8 features/action),Uniform,2,644.29150390625,0.08042381703853607,0.08309251070022583,False
hopper,Hopper,Multi-CGP + LR (8 features/action),Uniform,3,842.21826171875,0.08019338548183441,0.08191192895174026,False
hopper,Hopper,Multi-CGP + LR (8 features/action),Uniform,4,100.19738006591797,0.08029857277870178,0.07838664948940277,False
hopper,Hopper,Multi-CGP + LR (8 features/action),Q-DAgger,0,672.6415405273438,0.07651492208242416,0.08021999150514603,False
hopper,Hopper,Multi-CGP + LR (8 features/action),Q-DAgger,1,237.263427734375,0.07274842262268066,0.07468554377555847,False
hopper,Hopper,Multi-CGP + LR (8 features/action),Q-DAgger,2,146.98252868652344,0.0775090679526329,0.07828310877084732,False
hopper,Hopper,Multi-CGP + LR (8 features/action),Q-DAgger,3,220.9109649658203,0.07315423339605331,0.07490622252225876,False
hopper,Hopper,Multi-CGP + LR (8 features/action),Q-DAgger,4,265.3728942871094,0.07485264539718628,0.07055621594190598,False
walker2d,Walker2d,Multi-CGP + LR (8 features/action),Uniform,0,54.75265121459961,0.11605049669742584,0.12207853049039841,False
walker2d,Walker2d,Multi-CGP + LR (8 features/action),Uniform,1,65.15251922607422,0.11670038849115372,0.11977088451385498,False
walker2d,Walker2d,Multi-CGP + LR (8 features/action),Uniform,2,54.39809036254883,0.11048297584056854,0.11016529053449631,False
walker2d,Walker2d,Multi-CGP + LR (8 features/action),Uniform,3,80.47490692138672,0.11119504272937775,0.10673531889915466,False
walker2d,Walker2d,Multi-CGP + LR (8 features/action),Uniform,4,126.09111785888672,0.11579512804746628,0.11543401330709457,False
walker2d,Walker2d,Multi-CGP + LR (8 features/action),Q-DAgger,0,4.501985549926758,0.09804223477840424,0.09965494275093079,False
walker2d,Walker2d,Multi-CGP + LR (8 features/action),Q-DAgger,1,170.95062255859375,0.10275227576494217,0.10802850872278214,False
walker2d,Walker2d,Multi-CGP + LR (8 features/action),Q-DAgger,2,158.02113342285156,0.10052314400672913,0.09748353809118271,False
walker2d,Walker2d,Multi-CGP + LR (8 features/action),Q-DAgger,3,79.82530212402344,0.10042945295572281,0.09596160054206848,False
walker2d,Walker2d,Multi-CGP + LR (8 features/action),Q-DAgger,4,203.310546875,0.10200346261262894,0.10241623222827911,False
